query_id,job_id,rank,score
1,9891,1,0.76243645
1,54998,2,0.7602421
1,55456,3,0.7455548
1,3025,4,0.73948085
1,52402,5,0.7357999
1,53238,6,0.73212004
1,53366,7,0.73212004
1,53866,8,0.73212004
1,54968,9,0.73212004
1,54436,10,0.73212004
2,4221,1,0.7665478
2,58445,2,0.76434743
2,17656,3,0.7564529
2,4544,4,0.75621146
2,8577,5,0.7561209
2,18665,6,0.7554687
2,410,7,0.75530946
2,10672,8,0.7551038
2,14691,9,0.75503147
2,21280,10,0.7547999
3,38042,1,0.7471268
3,53006,2,0.73236924
3,29902,3,0.7318902
3,53664,4,0.73099416
3,53045,5,0.73099416
3,54438,6,0.73099416
3,54189,7,0.73099416
3,52562,8,0.73098946
3,27583,9,0.72838515
3,24044,10,0.72787106
4,52704,1,0.7271577
4,54484,2,0.7242074
4,52617,3,0.723271
4,53581,4,0.7221348
4,57563,5,0.71736586
4,55530,6,0.7165138
4,57499,7,0.7152025
4,21671,8,0.71390593
4,21398,9,0.71390593
4,34452,10,0.71378505
5,53760,1,0.82051307
5,53479,2,0.82049495
5,55528,3,0.8030599
5,36430,4,0.80044633
5,22625,5,0.7981459
5,47490,6,0.78970313
5,58182,7,0.7885878
5,47489,8,0.7871088
5,57524,9,0.7866589
5,57559,10,0.7845675
6,35974,1,0.7432104
6,47087,2,0.74155307
6,31361,3,0.7258148
6,52385,4,0.72213936
6,54812,5,0.7210902
6,55453,6,0.7204716
6,56479,7,0.716375
6,57632,8,0.7143367
6,26862,9,0.7138202
6,52705,10,0.7136874
7,56205,1,0.74506927
7,57834,2,0.7412813
7,53808,3,0.73911804
7,55688,4,0.7349822
7,53510,5,0.73134536
7,54177,6,0.73057604
7,56870,7,0.7304547
7,57602,8,0.7304547
7,46219,9,0.73002553
7,54342,10,0.729815
8,9514,1,0.7526984
8,45968,2,0.74995583
8,49222,3,0.7489617
8,52704,4,0.747361
8,20252,5,0.7464898
8,10177,6,0.74575233
8,18365,7,0.7453432
8,19403,8,0.7439954
8,52617,9,0.74312866
8,53581,10,0.7418914
9,10314,1,0.68222165
9,7872,2,0.6673716
9,20673,3,0.66308874
9,5557,4,0.6625824
9,20153,5,0.6621385
9,5132,6,0.66210234
9,671,7,0.6619686
9,30601,8,0.66117984
9,14118,9,0.6596217
9,18780,10,0.65848935
10,41747,1,0.72275364
10,42184,2,0.7180684
10,18271,3,0.71558785
10,19618,4,0.71271664
10,42725,5,0.7124279
10,36679,6,0.71214813
10,48332,7,0.708884
10,20656,8,0.705151
10,20770,9,0.705151
10,2622,10,0.70121425
11,7273,1,0.7920182
11,7403,2,0.7896018
11,20810,3,0.7825527
11,57969,4,0.7750216
11,3114,5,0.7722051
11,19914,6,0.77037233
11,36598,7,0.76739526
11,1639,8,0.76718813
11,18446,9,0.7665991
11,10228,10,0.76436096
12,2679,1,0.7795156
12,9345,2,0.7775805
12,21279,3,0.7685752
12,27757,4,0.76289177
12,2097,5,0.7620863
12,19247,6,0.7591074
12,26956,7,0.7578201
12,22353,8,0.7576829
12,24379,9,0.75720054
12,28226,10,0.75683826
13,6658,1,0.7748687
13,33542,2,0.7668474
13,13388,3,0.7622708
13,21391,4,0.76191866
13,4160,5,0.7605022
13,2782,6,0.76035583
13,9134,7,0.75996244
13,15216,8,0.75996244
13,11070,9,0.75897014
13,20724,10,0.75832677
14,56201,1,0.6961813
14,56459,2,0.69603056
14,13879,3,0.69600743
14,13287,4,0.69600743
14,37535,5,0.6916462
14,55975,6,0.6878662
14,10108,7,0.68702877
14,17162,8,0.6844018
14,23151,9,0.68071693
14,27623,10,0.68012416
15,22531,1,0.75391936
15,29486,2,0.7461579
15,21507,3,0.746108
15,57726,4,0.7394167
15,26318,5,0.7391437
15,28449,6,0.7388029
15,24692,7,0.7384244
15,52774,8,0.73787105
15,24251,9,0.73782957
15,53970,10,0.7321441
16,53199,1,0.7608441
16,20573,2,0.7502218
16,53486,3,0.7492424
16,55490,4,0.7433124
16,55696,5,0.7428875
16,57107,6,0.7414746
16,24214,7,0.74127376
16,15564,8,0.7409085
16,55837,9,0.73881054
16,54326,10,0.7384392
17,15006,1,0.7314774
17,36678,2,0.72673225
17,11153,3,0.7257819
17,11360,4,0.7257819
17,59992,5,0.72013235
17,8610,6,0.71985674
17,11668,7,0.71946657
17,14720,8,0.71861297
17,8295,9,0.71855235
17,8936,10,0.717746
18,52704,1,0.72568315
18,54484,2,0.7253797
18,52617,3,0.72182167
18,53581,4,0.7206929
18,23767,5,0.71955514
18,10846,6,0.7186394
18,43548,7,0.71832573
18,11111,8,0.7168624
18,41436,9,0.71592987
18,43197,10,0.71564734
19,39673,1,0.76806116
19,37702,2,0.76595247
19,35913,3,0.7591453
19,48537,4,0.7515913
19,45126,5,0.75007665
19,35908,6,0.7478911
19,35912,7,0.7473582
19,46717,8,0.74730176
19,34120,9,0.7466826
19,53129,10,0.7459189
20,24321,1,0.7702173
20,23092,2,0.7543143
20,22343,3,0.75153697
20,55081,4,0.7513819
20,29660,5,0.750629
20,22234,6,0.7499836
20,24074,7,0.74967635
20,30468,8,0.7495881
20,26655,9,0.7494395
20,26656,10,0.7494395
21,29362,1,0.7246448
21,52689,2,0.7241334
21,54992,3,0.71996343
21,56156,4,0.71629465
21,56671,5,0.7161777
21,55289,6,0.71528804
21,53464,7,0.71518314
21,55565,8,0.71387357
21,26127,9,0.7116134
21,55685,10,0.7113925
22,60959,1,0.7618462
22,58812,2,0.76104015
22,61766,3,0.7603711
22,5063,4,0.7603333
22,61765,5,0.7600586
22,59500,6,0.7596346
22,37223,7,0.7594458
22,64519,8,0.7591076
22,61591,9,0.7585149
22,60432,10,0.75850874
23,46950,1,0.7572075
23,45485,2,0.75718856
23,58178,3,0.75622267
23,44781,4,0.7540053
23,26573,5,0.75378394
23,26574,6,0.75378394
23,35461,7,0.7529011
23,54765,8,0.7521852
23,51182,9,0.7514634
23,51500,10,0.7502108
24,56418,1,0.7641487
24,55600,2,0.7641487
24,8507,3,0.75378036
24,41751,4,0.753684
24,37267,5,0.75182104
24,39991,6,0.750668
24,39669,7,0.750668
24,8304,8,0.7499628
24,16036,9,0.74696845
24,57559,10,0.7450012
25,57916,1,0.7686544
25,54198,2,0.7641543
25,53293,3,0.76316524
25,57061,4,0.7580621
25,34715,5,0.7566399
25,36314,6,0.7566399
25,55995,7,0.7508347
25,56643,8,0.7508347
25,52593,9,0.7480951
25,54400,10,0.74196315
26,55922,1,0.7668879
26,36457,2,0.76302767
26,36545,3,0.75866985
26,47135,4,0.75751394
26,39067,5,0.75686073
26,50613,6,0.75363755
26,46062,7,0.75356466
26,48911,8,0.75325024
26,49566,9,0.75318515
26,50205,10,0.7529226
27,55996,1,0.73367226
27,65639,2,0.72339284
27,65638,3,0.7197766
27,53053,4,0.7193624
27,14226,5,0.71282005
27,58485,6,0.7120553
27,58468,7,0.71179605
27,22272,8,0.7112833
27,58469,9,0.71058
27,65398,10,0.70834386
28,52693,1,0.78915095
28,53892,2,0.7889623
28,32915,3,0.7859697
28,52750,4,0.78169066
28,58239,5,0.781665
28,52434,6,0.77935517
28,57784,7,0.7790709
28,56250,8,0.7767453
28,57629,9,0.7764244
28,52731,10,0.76733124
29,55192,1,0.7674088
29,55294,2,0.7670655
29,54591,3,0.7669699
29,48626,4,0.7669481
29,54996,5,0.7544838
29,37552,6,0.75154114
29,34142,7,0.75073886
29,56104,8,0.74335194
29,33728,9,0.7384049
29,39592,10,0.7377508
30,2972,1,0.79502416
30,57004,2,0.78548974
30,2238,3,0.78301364
30,55309,4,0.7814707
30,1324,5,0.7783195
30,12800,6,0.77777886
30,42816,7,0.774907
30,50850,8,0.77475834
30,47537,9,0.772573
30,43296,10,0.77202743
31,15859,1,0.741683
31,8148,2,0.737551
31,10846,3,0.7371359
31,8140,4,0.73594576
31,11670,5,0.73568046
31,8876,6,0.7353148
31,8664,7,0.73521805
31,11111,8,0.7352085
31,10863,9,0.73518497
31,4451,10,0.73457766
32,9073,1,0.74318767
32,5329,2,0.73784024
32,11753,3,0.72992873
32,39290,4,0.72901523
32,42423,5,0.7279486
32,38328,6,0.7274692
32,52464,7,0.7265067
32,37690,8,0.72538054
32,1373,9,0.72487277
32,52436,10,0.72473645
33,48709,1,0.7716759
33,17440,2,0.758308
33,34717,3,0.7551675
33,20724,4,0.7517673
33,21460,5,0.7517673
33,11531,6,0.75163686
33,5022,7,0.7515633
33,57462,8,0.7513379
33,22107,9,0.7495699
33,22750,10,0.7495699
34,52937,1,0.7946142
34,57748,2,0.7429918
34,22581,3,0.7418038
34,7182,4,0.7397338
34,55081,5,0.7379871
34,9422,6,0.73684037
34,58096,7,0.73638076
34,16084,8,0.73586774
34,53120,9,0.73531896
34,27757,10,0.7343012
35,55384,1,0.7423328
35,55799,2,0.74211526
35,39285,3,0.73854285
35,18293,4,0.7353859
35,48480,5,0.73223794
35,50704,6,0.7288649
35,2354,7,0.72833145
35,51894,8,0.72519183
35,4753,9,0.7248119
35,41868,10,0.7187302
36,61634,1,0.7615279
36,6975,2,0.7604487
36,20028,3,0.7581053
36,15774,4,0.75679946
36,16771,5,0.75496954
36,16339,6,0.7501497
36,12414,7,0.74980336
36,19919,8,0.74944973
36,64311,9,0.7482841
36,18475,10,0.74768215
37,29354,1,0.7790708
37,31241,2,0.778875
37,54651,3,0.77797604
37,19195,4,0.7737609
37,20522,5,0.7730943
37,55768,6,0.761817
37,2780,7,0.759125
37,27029,8,0.755714
37,53642,9,0.75561774
37,61073,10,0.7553347
38,27,1,0.771504
38,3587,2,0.76641315
38,2111,3,0.7663221
38,6444,4,0.7604999
38,3610,5,0.75782454
38,26938,6,0.7547118
38,18553,7,0.75089186
38,13707,8,0.74955297
38,5365,9,0.74911076
38,6299,10,0.74857366
39,55111,1,0.75140107
39,58215,2,0.74965453
39,53893,3,0.7362446
39,32803,4,0.731683
39,40945,5,0.7259935
39,53822,6,0.72577083
39,32807,7,0.72268283
39,32805,8,0.72065693
39,43656,9,0.72014564
39,53230,10,0.71771324
40,53103,1,0.74049187
40,14000,2,0.73026526
40,9242,3,0.72973996
40,4892,4,0.72794795
40,7638,5,0.7269287
40,3547,6,0.72597647
40,217,7,0.72576475
40,2461,8,0.72566116
40,5557,9,0.7240207
40,12181,10,0.7230517
41,53103,1,0.74870896
41,52615,2,0.7248025
41,5733,3,0.72126186
41,16731,4,0.7107008
41,5231,5,0.7107008
41,22531,6,0.7019912
41,27616,7,0.70033675
41,27617,8,0.70033675
41,27618,9,0.70033675
41,1639,10,0.6999513
42,278,1,0.7917831
42,3427,2,0.780787
42,6723,3,0.77471185
42,14948,4,0.7742453
42,13462,5,0.7731058
42,13860,6,0.7731058
42,10031,7,0.77298224
42,18178,8,0.7721311
42,12969,9,0.7718391
42,52325,10,0.770207
43,38322,1,0.7539493
43,1880,2,0.74909383
43,22252,3,0.747226
43,34784,4,0.74638546
43,26677,5,0.74483955
43,42180,6,0.7421963
43,26890,7,0.7420395
43,7088,8,0.7413125
43,4443,9,0.73905224
43,23606,10,0.73308265
44,56723,1,0.7053504
44,57625,2,0.7053504
44,58038,3,0.70486134
44,55192,4,0.6989431
44,20338,5,0.69529176
44,53842,6,0.6952139
44,53188,7,0.6932917
44,54598,8,0.6926788
44,20998,9,0.69195634
44,22184,10,0.69125944
45,57912,1,0.7828693
45,57910,2,0.7764067
45,53281,3,0.76611185
45,57062,4,0.76383525
45,54275,5,0.7607316
45,47669,6,0.7606912
45,42141,7,0.7590943
45,54356,8,0.75884795
45,36328,9,0.7565194
45,48653,10,0.7546453
46,9187,1,0.7690648
46,10459,2,0.7643592
46,7426,3,0.76236105
46,25492,4,0.76008344
46,5858,5,0.75802946
46,16439,6,0.7521563
46,10186,7,0.7489087
46,114,8,0.74882054
46,9022,9,0.74823236
46,7883,10,0.74628747
47,53199,1,0.7790799
47,20573,2,0.767715
47,53486,3,0.7666671
47,55490,4,0.7603226
47,55486,5,0.7537644
47,55696,6,0.7528951
47,53885,7,0.749008
47,55133,8,0.74819976
47,55856,9,0.7467792
47,57107,10,0.7463497
48,34996,1,0.75266886
48,9532,2,0.7486738
48,10506,3,0.73966926
48,11123,4,0.7345071
48,16785,5,0.7310698
48,16787,6,0.7310698
48,53214,7,0.7301215
48,54539,8,0.7277962
48,28144,9,0.7216172
48,23501,10,0.7214817
49,54510,1,0.804682
49,54570,2,0.78935766
49,57677,3,0.7888437
49,56581,4,0.78803736
49,53663,5,0.78283226
49,53436,6,0.78115654
49,49992,7,0.77679783
49,34048,8,0.7759555
49,38924,9,0.7755851
49,57559,10,0.7648786
50,52551,1,0.6730328
50,16322,2,0.6725791
50,3095,3,0.6683781
50,13253,4,0.6630939
50,16807,5,0.6625274
50,10048,6,0.6615248
50,18722,7,0.66096914
50,1874,8,0.6608667
50,5349,9,0.66086435
50,4693,10,0.66086435
51,54484,1,0.7654618
51,57563,2,0.7592125
51,57499,3,0.7566327
51,52704,4,0.7556452
51,54377,5,0.7530329
51,58394,6,0.752984
51,52617,7,0.7512711
51,53581,8,0.74999243
51,56720,9,0.747516
51,55593,10,0.74733603
52,4221,1,0.7424632
52,58445,2,0.7404616
52,16225,3,0.73820764
52,6148,4,0.737352
52,15834,5,0.73654133
52,11332,6,0.73360026
52,17656,7,0.7332804
52,4544,8,0.7330608
52,8577,9,0.7329784
52,18665,10,0.73238516
53,52791,1,0.7165215
53,7514,2,0.7093305
53,8054,3,0.70801973
53,10735,4,0.70634794
53,4099,5,0.70596004
53,8307,6,0.705814
53,38678,7,0.7041172
53,21397,8,0.70354474
53,6475,9,0.7035023
53,34472,10,0.70273006
54,21760,1,0.72681355
54,48624,2,0.72647715
54,53464,3,0.72031635
54,15306,4,0.71449494
54,51353,5,0.71284944
54,29362,6,0.7127719
54,55132,7,0.7098335
54,5440,8,0.7078909
54,4338,9,0.7078909
54,51914,10,0.707712
55,5163,1,0.73604155
55,8676,2,0.73408544
55,9548,3,0.73408544
55,9413,4,0.73362666
55,10242,5,0.73307306
55,3068,6,0.73307306
55,16487,7,0.73187697
55,12085,8,0.7307378
55,21690,9,0.7279873
55,7574,10,0.72766197
56,37827,1,0.7680117
56,55528,2,0.7596207
56,55597,3,0.7579359
56,57921,4,0.7576938
56,55770,5,0.7545823
56,52570,6,0.75452936
56,55954,7,0.7544046
56,54520,8,0.75246704
56,23493,9,0.7523947
56,22625,10,0.75099397
57,3114,1,0.7258255
57,19914,2,0.724305
57,10314,3,0.7240758
57,14408,4,0.7214143
57,18446,5,0.72117466
57,6632,6,0.7194302
57,10228,7,0.7193178
57,19656,8,0.7188637
57,1710,9,0.7184521
57,6818,10,0.71832377
58,22956,1,0.73790884
58,29279,2,0.73790884
58,30426,3,0.73790884
58,29281,4,0.7378949
58,30427,5,0.7378949
58,30104,6,0.73170704
58,25783,7,0.7304425
58,30105,8,0.7300874
58,56006,9,0.7266383
58,20998,10,0.7227976
59,13470,1,0.77896774
59,11155,2,0.77812564
59,35044,3,0.7774138
59,16133,4,0.77527696
59,9847,5,0.7729345
59,26473,6,0.7712736
59,14855,7,0.76854974
59,21506,8,0.7578591
59,32780,9,0.7515696
59,11386,10,0.75132763
60,35032,1,0.6579707
60,35033,2,0.6574312
60,35031,3,0.65439856
60,57632,4,0.6480737
60,2448,5,0.63777065
60,11728,6,0.6282601
60,20320,7,0.6272327
